filename,act,section_article,title,chapter,word_count
ppc_section_1.txt,"Pakistan Penal Code, 1860",1,Title and extent of operation of the Code.,INTRODUCTION,23
ppc_section_2.txt,"Pakistan Penal Code, 1860",2,Punishment of offences committed within Pakistan.,INTRODUCTION,37
ppc_section_3.txt,"Pakistan Penal Code, 1860",3,"Punishment of offences committed beyond, but which by law may be tried within Pakistan.",INTRODUCTION,60
ppc_section_4.txt,"Pakistan Penal Code, 1860",4,Extension of Code to extra-territorial offences.,INTRODUCTION,177
ppc_section_5.txt,"Pakistan Penal Code, 1860",5,Certain laws not to be affected by this Act.,INTRODUCTION,52
ppc_section_6.txt,"Pakistan Penal Code, 1860",6,Definitions in the code to be understood subject to exceptions.,INTRODUCTION,179
ppc_section_7.txt,"Pakistan Penal Code, 1860",7,Sense of expression once explained.,INTRODUCTION,29
ppc_section_8.txt,"Pakistan Penal Code, 1860",8,Gender.,INTRODUCTION,16
ppc_section_9.txt,"Pakistan Penal Code, 1860",9,Number.,INTRODUCTION,27
ppc_section_10.txt,"Pakistan Penal Code, 1860",10,"""Man"", ""Woman"".",INTRODUCTION,24
ppc_section_11.txt,"Pakistan Penal Code, 1860",11,"""Person"".",INTRODUCTION,17
ppc_section_12.txt,"Pakistan Penal Code, 1860",12,"""Public"".",INTRODUCTION,13
ppc_section_14.txt,"Pakistan Penal Code, 1860",14,"""Servant of the State"".",INTRODUCTION,34
ppc_section_17.txt,"Pakistan Penal Code, 1860",17,Section 17,INTRODUCTION,23
ppc_section_19.txt,"Pakistan Penal Code, 1860",19,"""Judge"".",INTRODUCTION,120
ppc_section_20.txt,"Pakistan Penal Code, 1860",20,"""Court of Justice"".",INTRODUCTION,49
ppc_section_21.txt,"Pakistan Penal Code, 1860",21,"""Public servant"".",INTRODUCTION,556
ppc_section_22.txt,"Pakistan Penal Code, 1860",22,Movable property.,INTRODUCTION,34
ppc_section_23.txt,"Pakistan Penal Code, 1860",23,"""Wrongful gain"", ""Wrongful loss"", ""Gaining Wrongfully"", ""Losing Wrongfully"".",INTRODUCTION,101
ppc_section_24.txt,"Pakistan Penal Code, 1860",24,"""Dishonestly"".",INTRODUCTION,27
ppc_section_25.txt,"Pakistan Penal Code, 1860",25,"""Fraudulently"".",INTRODUCTION,22
ppc_section_26.txt,"Pakistan Penal Code, 1860",26,"""Reason to believe"".",INTRODUCTION,26
ppc_section_27.txt,"Pakistan Penal Code, 1860",27,"Property in possession of wife, clerk or servant.",INTRODUCTION,66
ppc_section_28.txt,"Pakistan Penal Code, 1860",28,"""Counterfeit"".",INTRODUCTION,117
ppc_section_29.txt,"Pakistan Penal Code, 1860",29,Document:,INTRODUCTION,258
ppc_section_30.txt,"Pakistan Penal Code, 1860",30,"""Valuable security"".",INTRODUCTION,90
ppc_section_31.txt,"Pakistan Penal Code, 1860",31,"""A will"".",INTRODUCTION,10
ppc_section_32.txt,"Pakistan Penal Code, 1860",32,Words referring to acts include illegal omissions.,INTRODUCTION,32
ppc_section_33.txt,"Pakistan Penal Code, 1860",33,"""Act"", ""Omission"".",INTRODUCTION,30
ppc_section_34.txt,"Pakistan Penal Code, 1860",34,Acts done by several persons In furtherance of common intention.,INTRODUCTION,47
ppc_section_35.txt,"Pakistan Penal Code, 1860",35,Section 35,INTRODUCTION,78
ppc_section_36.txt,"Pakistan Penal Code, 1860",36,Effects caused partly by act and partly by omission:,INTRODUCTION,80
ppc_section_37.txt,"Pakistan Penal Code, 1860",37,Co-operation by doing one of several acts constituting an offence:,INTRODUCTION,314
ppc_section_38.txt,"Pakistan Penal Code, 1860",38,Persons concerned in criminal act may be guilty of different offences:,INTRODUCTION,109
